
	WATERSHED 1

logit(theta[i]) <-  beta[1] + beta[2] * Agr[1] + beta[3] * Elv[i] + beta[4] * Area[i] + beta[5] * Urb[i] +
beta[6] * Slop[i] + beta[7] * Temp[i] + beta[8] * For[i] + beta[9] * s[i]

              mean         sd          2.5%        50%     97.5% Rhat n.eff
alpha    2.2469550 11.6724147  1.578336e-01  0.6665395 10.888302 1.01  1315
beta[1]  0.1486502  2.8560820 -5.497707e+00  0.1687340  5.689739 1.00  1950
beta[2]  0.2908156  2.5038820 -4.644648e+00  0.2005835  5.249581 1.00  1500
beta[3] -0.8309522  2.6611447 -5.786286e+00 -0.8661895  4.511505 1.00  1639
beta[4]  3.4590170  2.2316133 -5.851575e-01  3.3253450  8.144790 1.00  1550
beta[5] -0.2405904  1.4684784 -2.938668e+00 -0.3095965  2.873833 1.00  1500
beta[6] -1.4637329  2.0178072 -5.272819e+00 -1.4906500  2.673986 1.00  1364
beta[7] -0.9022226  2.5011285 -5.918475e+00 -0.9130745  3.934178 1.00  1603
beta[8] -1.0279925  2.0281483 -4.879341e+00 -1.0326150  3.138215 1.00  1500
beta[9]  1.2549395  2.4663453 -3.581113e+00  1.0498550  6.417575 1.00  1710
s[1]     1.0291383  0.9177585  1.345460e-04  0.7644790  3.344601 1.00  1352
s[2]     1.5923121  1.3270504  9.423126e-03  1.1597000  4.802779 1.00  1344
s[3]     1.3014779  1.2986756  1.694454e-06  0.8690430  4.495765 1.00  1346
s[4]     1.8308248  1.1395198  2.125945e-01  1.5608200  4.476872 1.00  1345
s[5]     1.8308248  1.1395198  2.125945e-01  1.5608200  4.476872 1.00  1345
s[6]     1.5592539  1.3154904  9.423126e-03  1.1126200  4.778247 1.00  1345
s[7]     1.4179399  1.1241510  2.077725e-03  1.1502200  4.059152 1.00  1345
s[8]     1.6001563  1.2193372  2.077725e-03  1.3639600  4.353727 1.00  1344
s[9]     0.9236744  0.8217581  1.345460e-04  0.6866335  3.045689 1.00  1356
s[10]    1.2502778  1.1598720  2.517721e-05  0.9093010  4.097167 1.00  1347
s[11]    1.4614663  1.2531354  2.687154e-05  1.1432800  4.448759 1.00  1346
s[12]    1.7812861  1.1147449  2.125945e-01  1.5019250  4.399215 1.00  1345
