
	WATERSHED 2

logit(theta[i]) <-  beta[1] + beta[2] * Agr[1] + beta[3] * Elv[i] + beta[4] * Area[i] + beta[5] * Urb[i] +
beta[6] * Slop[i] + beta[7] * Temp[i] + beta[8] * For[i] + beta[9] * s[i]

               mean         sd          2.5%         50%     97.5% Rhat n.eff
alpha    3.12329791 16.2433456  1.535745e-01  0.55071000 20.960202 1.06  1500
beta[1]  1.89469027  2.8729004 -4.073234e+00  1.91559000  7.369202 1.00  1500
beta[2] -2.23336710  2.6980564 -7.604435e+00 -2.30247500  3.051321 1.00  1643
beta[3] -0.82462079  2.6654686 -6.152132e+00 -0.86332700  4.395385 1.01  1500
beta[4]  0.82737572  2.2081811 -3.151329e+00  0.57933300  5.516946 1.00  1413
beta[5]  1.79184984  2.0515524 -1.869841e+00  1.57602000  6.065643 1.00  1500
beta[6] -1.92003930  1.8856971 -5.685058e+00 -1.89618500  1.980315 1.00  1626
beta[7]  0.05651493  2.5833088 -5.183388e+00  0.02526235  5.096492 1.00  1500
beta[8] -0.94089669  2.0904977 -5.218675e+00 -0.96285900  3.113923 1.00  1495
beta[9]  1.09490686  2.0398764 -3.021715e+00  1.09658000  5.284935 1.00  1078
s[1]     0.32545284  0.5253655  0.000000e+00  0.08258065  1.923389 1.01  1500
s[2]     2.02081043  1.8018345  1.859625e-15  1.65188000  6.186274 1.00  1500
s[3]     1.73918815  1.5719917  1.054714e-16  1.41691500  5.397858 1.00  1500
s[4]     1.73918815  1.5719917  1.054714e-16  1.41691500  5.397858 1.00  1500
s[5]     3.04570486  1.6948503  7.302269e-01  2.84778500  6.733571 1.00  1500
s[6]     1.16328447  1.2166712  1.054714e-16  0.77506000  4.303724 1.01  1500
s[7]     1.16328447  1.2166712  1.054714e-16  0.77506000  4.303724 1.01  1500
s[8]     3.05277061  1.6960927  7.302269e-01  2.85629500  6.740975 1.00  1500
s[9]     3.05277061  1.6960927  7.302269e-01  2.85629500  6.740975 1.00  1500
s[10]    1.34236850  1.3927722  0.000000e+00  0.92448650  4.913977 1.01  1500
s[11]    3.15532685  1.8078797  1.000000e+00  2.87244000  7.160719 1.00  1500
s[12]    1.66349900  1.5128295  1.772948e-05  1.16776000  5.618668 1.01  1500
s[13]    2.88913920  2.0054610  3.650894e-08  2.82050000  6.965159 1.00  1500
s[14]    1.55676153  1.1400572  6.542421e-06  1.41062000  4.299253 1.00  1500
s[15]    1.74611303  1.1902513  6.568254e-06  1.63904000  4.539885 1.00  1500
s[16]    3.15532685  1.8078797  1.000000e+00  2.87244000  7.160719 1.00  1500
s[17]    1.69184641  1.5462341  1.772948e-05  1.17850000  5.720579 1.01  1500
s[18]    1.66315761  1.2870922  2.583459e-08  1.50705000  4.712389 1.00  1500
s[19]    1.36901603  1.4160746  1.859625e-15  0.91898750  4.995967 1.01  1500
