
	WATERSHED 3

logit(theta[i]) <-  beta[1] + beta[2] * Agr[1] + beta[3] * Elv[i] + beta[4] * Area[i] + beta[5] * Urb[i] +
beta[6] * Slop[i] + beta[7] * Temp[i] + beta[8] * For[i] + beta[9] * s[i]

               mean         sd          2.5%        50%       97.5% Rhat n.eff
alpha    5.92179135 82.1054797  1.485377e-01  0.5021045 14.76449250 1.28  1500
beta[1] -2.08775845  1.3627871 -5.231018e+00 -1.8813150  0.01961293 1.00  1774
beta[2]  0.20116753  1.6477139 -3.086707e+00  0.2380360  3.26063250 1.00  1500
beta[3]  0.17479793  0.5854210 -9.818436e-01  0.1813295  1.31775075 1.00  1500
beta[4]  0.48417244  0.5011201 -4.373232e-01  0.4555525  1.58776275 1.00  1343
beta[5]  0.08971863  0.5235199 -9.055724e-01  0.0599410  1.14640200 1.00  1581
beta[6] -1.03022295  0.6712414 -2.483358e+00 -0.9679875  0.10643972 1.00  1772
beta[7] -1.45938327  1.8661555 -5.350283e+00 -1.3962650  1.95602500 1.00  1500
s[1]     1.84653407  2.0474667  0.000000e+00  1.1040500  7.13882625 1.00  1429
s[2]     1.43747985  1.3554686  1.919203e-09  1.1001300  5.00075150 1.00  1433
s[3]     2.02259896  1.5287768  4.545871e-03  1.6856400  5.93986700 1.00  1500
s[4]     0.86198561  1.2067094  0.000000e+00  0.3095265  4.38819625 1.00  1412
s[5]     2.04608270  1.5940870  4.545861e-03  1.6713750  6.12972275 1.00  1500
s[6]     2.70723060  2.6098825  5.138314e-07  1.9325850  9.02934925 1.00  1500
s[7]     3.77559334  1.9505910  1.552088e-01  3.5444850  8.17295425 1.00  1500
s[8]     2.67618281  2.5101591  5.138319e-07  1.9840600  8.72395600 1.00  1500
s[9]     1.83136381  1.7993255  2.172895e-07  1.2932050  6.49997100 1.00  1433
s[10]    2.45854715  1.4078644  1.000000e+00  2.0725400  6.17945800 1.00  1432
s[11]    3.35241687  2.4405204  5.858706e-02  2.8200750  9.34465225 1.00  1500
s[12]    3.10354242  2.5501118  8.560721e-06  2.5943800  9.26730450 1.00  1500
s[13]    2.37760860  2.4263064  2.296181e-11  1.6049200  8.56578225 1.00  1434
s[14]    3.98509214  2.1921444  1.661411e+00  3.2574900  9.55435700 1.00  1435
s[15]    2.88471911  2.4780150  2.482236e-11  2.4523550  8.53380750 1.00  1500
s[16]    3.26263295  2.5730141  1.568451e-01  2.5495650  9.62017150 1.00  1500
s[17]    3.26263295  2.5730141  1.568451e-01  2.5495650  9.62017150 1.00  1500
s[18]    0.63179068  0.8539236  0.000000e+00  0.2679030  3.09691850 1.00  1413
s[19]    4.07411546  1.7803484  1.129761e+00  3.7435700  8.30781275 1.00  1500
s[20]    3.21236139  2.9136487  1.252193e-09  2.5058250 10.04248500 1.00  1500
s[21]    2.45854715  1.4078644  1.000000e+00  2.0725400  6.17945800 1.00  1432
s[22]    1.20130496  1.2718339  8.901185e-11  0.7775555  4.56784525 1.00  1428
s[23]    3.28383242  2.5669192  1.568451e-01  2.5884750  9.61775950 1.00  1500
s[24]    1.51801568  1.5499494  2.172895e-07  1.0080850  5.69137525 1.00  1428
s[25]    1.60681138  1.5869650  8.901185e-11  1.1662550  5.56104600 1.00  1437
s[26]    1.64523911  1.4666981  1.086603e-09  1.3434050  5.32612650 1.00  1500
s[27]    3.28363403  2.4331584  5.857943e-02  2.7364900  9.27992475 1.00  1500
s[28]    3.98509214  2.1921444  1.661411e+00  3.2574900  9.55435700 1.00  1435
s[29]    3.83457180  2.0185086  1.125239e-01  3.6150450  8.35021150 1.00  1500
s[30]    3.93032661  2.2276767  1.322816e+00  3.2336100  9.52805175 1.00  1437
s[31]    1.86186273  1.8350059  6.569891e-11  1.3256550  6.56679150 1.00  1434
s[32]    4.07411546  1.7803484  1.129761e+00  3.7435700  8.30781275 1.00  1500
