
	WATERSHED 4

logit(theta[i]) <-  beta[1] + beta[2] * Agr[1] + beta[3] * Elv[i] + beta[4] * Area[i] + beta[5] * Urb[i] +
beta[6] * Slop[i] + beta[7] * Temp[i] + beta[8] * For[i] + beta[9] * s[i]

               mean        sd          2.5%          50%      97.5% Rhat n.eff
alpha    0.74870743 0.5564205  2.453771e-01  0.586242500  2.2736345 1.00  1046
beta[1]  1.33286154 2.7872856 -4.203500e+00  1.386055000  6.9253660 1.00  1500
beta[2] -2.31768599 1.7225811 -5.702451e+00 -2.273220000  1.3450182 1.00  1420
beta[3] -1.12800417 0.9945645 -3.164124e+00 -1.102010000  0.7340169 1.00  1500
beta[4]  2.43823386 1.0540210  6.660251e-01  2.381705000  4.6494030 1.00  1578
beta[5] -0.69734699 0.7632073 -2.250897e+00 -0.672448000  0.7257799 1.00  1500
beta[6] -0.32287503 0.6370466 -1.590625e+00 -0.313456500  0.8745563 1.00  1500
beta[7] -1.27492290 1.2694936 -3.939799e+00 -1.198680000  1.0389655 1.00  1500
beta[8]  1.27739155 0.7990061 -1.690536e-01  1.222270000  2.9243102 1.01  1500
beta[9] -1.37805464 0.5050939 -2.487813e+00 -1.341250000 -0.4930996 1.00  1459
s[1]     2.65592922 0.4408228  1.855293e+00  2.620380000  3.6640200 1.00   674
s[2]     0.09598373 0.1768482  1.778206e-08  0.027328500  0.5847357 1.02   653
s[3]     2.45480819 0.5118561  1.436829e+00  2.441965000  3.5535452 1.00   673
s[4]     2.65592922 0.4408228  1.855293e+00  2.620380000  3.6640200 1.00   674
s[5]     2.00001304 0.7192748  5.387197e-01  2.006875000  3.4741482 1.00   681
s[6]     1.45213680 1.1187367  2.089649e-02  1.261635000  4.1513432 1.00   688
s[7]     0.80474310 0.8324887  1.106910e-03  0.560623000  2.9707797 1.00   676
s[8]     2.25294131 0.8533771  1.117385e+00  2.096520000  4.3578342 1.00   682
s[9]     2.25294131 0.8533771  1.117385e+00  2.096520000  4.3578342 1.00   682
s[10]    1.69095214 0.9680751  2.222641e-01  1.563100000  3.9747437 1.00   665
s[11]    1.64976591 1.1060541  1.607317e-01  1.448650000  4.3868137 1.00   685
s[12]    1.73880383 1.0914706  2.445115e-01  1.526720000  4.4813035 1.00   683
s[13]    2.91638430 1.1323449  1.291164e+00  2.749370000  5.5912905 1.00   668
s[14]    1.54593048 0.8869145  2.219174e-01  1.429135000  3.6211770 1.00   666
s[15]    1.92318569 0.9872620  3.245318e-01  1.830915000  4.1547420 1.00   650
s[16]    2.91638430 1.1323449  1.291164e+00  2.749370000  5.5912905 1.00   668
s[17]    2.91638430 1.1323449  1.291164e+00  2.749370000  5.5912905 1.00   668
