
	WATERSHED 5

logit(theta[i]) <-  beta[1] + beta[2] * Agr[1] + beta[3] * Elv[i] + beta[4] * Area[i] + beta[5] * Urb[i] +
beta[6] * Slop[i] + beta[7] * Temp[i] + beta[8] * For[i] + beta[9] * s[i]

              mean        sd          2.5%        50%       97.5% Rhat n.eff
alpha    1.9690718 9.9300142  1.894057e-01  0.7290810  8.39416225 1.15  1321
beta[1]  1.2500531 1.7339475 -1.921138e+00  1.2540750  4.61645175 1.00  1500
beta[2]  0.7591930 2.8113454 -4.833296e+00  0.7444870  6.30112050 1.00  1416
beta[3] -0.2873924 2.2447980 -4.672540e+00 -0.2718970  4.20063550 1.00  1392
beta[4]  0.8580965 0.8041302 -5.011281e-01  0.7887660  2.72317525 1.00  1570
beta[5]  0.4734324 1.2120722 -1.990172e+00  0.4654555  2.85375450 1.00  1432
beta[6] -1.4708857 2.1013263 -5.497974e+00 -1.4711000  2.66478350 1.00  1432
beta[7] -2.1918856 2.3987885 -6.829030e+00 -2.1670450  2.35067675 1.00  1500
beta[8] -1.7137246 0.9328493 -3.657691e+00 -1.6483450 -0.03066344 1.00  1493
beta[9] -0.5327139 0.3835304 -1.391888e+00 -0.4776535  0.02043923 1.00  1570
s[1]     2.7591964 2.5445161  4.924807e-04  1.9688700  9.08525425 1.00  1437
s[2]     0.6082500 0.7358344  5.536431e-10  0.3080510  2.55659475 1.00  1500
s[3]     1.0379548 1.2267633  7.985386e-05  0.5995255  4.59872475 1.00  1500
s[4]     1.8534905 1.3798358  3.938642e-01  1.3396200  5.72970875 1.00  1500
s[5]     1.9105577 2.0154661  6.012021e-06  1.1755850  7.20150800 1.00  1500
s[6]     0.3323958 0.6674891  0.000000e+00  0.0477060  2.35535600 1.00  1500
s[7]     4.4926300 2.8835828  1.659634e-01  3.9739000 10.89762000 1.00  1432
s[8]     0.5357184 0.5378134  1.654964e-06  0.3633070  1.94726900 1.00  1500
s[9]     2.1423401 2.2578660  4.901648e-04  1.2935450  8.10349575 1.00  1500
s[10]    0.4592433 0.4454532  1.654964e-06  0.3299720  1.63417775 1.00  1500
s[11]    0.4592433 0.4454532  1.654964e-06  0.3299720  1.63417775 1.00  1500
s[12]    5.3438416 2.9466718  2.583369e-01  4.9701650 11.58367750 1.00  1433
s[13]    5.6091986 2.8834986  1.113458e+00  5.2144600 11.76105250 1.00  1431
s[14]    1.0660368 1.3253090  7.985386e-05  0.5571095  4.94226175 1.00  1500
s[15]    1.0660368 1.3253090  7.985386e-05  0.5571095  4.94226175 1.00  1500
s[16]    5.6089277 2.8840502  1.112438e+00  5.2143800 11.76145250 1.00  1431
s[17]    6.8084037 2.5582872  1.980628e+00  6.4883200 12.23430000 1.00  1437
s[18]    1.1792439 0.7474508  2.307678e-02  1.0364700  3.02061150 1.00  1500
s[19]    0.6045650 0.9545181  3.113366e-11  0.2133765  3.43862675 1.00  1500
s[20]    5.8978046 3.1151832  7.254993e-02  5.7119050 12.10589250 1.00  1437
s[21]    6.8084037 2.5582872  1.980628e+00  6.4883200 12.23430000 1.00  1437
s[22]    6.8178414 2.5171586  2.065877e+00  6.4763300 12.20110000 1.00  1436
s[23]    6.8178414 2.5171586  2.065877e+00  6.4763300 12.20110000 1.00  1436
s[24]    0.5612926 1.0562951  0.000000e+00  0.0671709  3.79173525 1.00  1500
s[25]    6.0017150 2.7918981  4.206775e-01  5.6960250 11.83060250 1.00  1438
s[26]    0.1868679 0.4475320  0.000000e+00  0.0122981  1.52802050 1.00  1430
s[27]    1.8945102 1.4070529  3.938642e-01  1.3748050  5.83063375 1.00  1500
s[28]    1.2738787 0.7654822  2.308716e-02  1.1554050  3.10055125 1.00  1500
s[29]    2.2872715 2.4300853  5.529903e-06  1.3872300  8.44189475 1.00  1436
s[30]    5.8509679 2.8494142  2.977816e-01  5.5349450 11.80041250 1.00  1438
s[31]    4.8167079 2.8956604  1.844367e-01  4.3518500 11.14473750 1.00  1433
s[32]    0.9934686 0.8374533  1.091223e-05  0.8029460  3.00646050 1.00  1500
