
	WATERSHED 6

logit(theta[i]) <-  beta[1] + beta[2] * Agr[1] + beta[3] * Elv[i] + beta[4] * Area[i] + beta[5] * Urb[i] +
beta[6] * Slop[i] + beta[7] * Temp[i] + beta[8] * For[i] + beta[9] * s[i]

               mean        sd          2.5%          50%       97.5% Rhat n.eff
alpha    1.66314856 3.9128675  1.748838e-01  0.899788500  7.49168150 1.09  1500
beta[1]  1.65989799 0.6065042  6.157991e-01  1.606505000  3.07063425 1.01  1374
beta[2] -0.10032639 3.1425444 -6.462628e+00 -0.116626500  6.20362600 1.00  1500
beta[3] -2.30686387 0.9378082 -4.190406e+00 -2.272035000 -0.59508983 1.00  1500
beta[4] -0.24567695 0.2285844 -6.974898e-01 -0.242462500  0.19876265 1.00  1490
beta[5]  0.26478497 0.2494268 -2.094489e-01  0.259924000  0.75399867 1.00  1500
beta[6] -0.37640559 0.2777307 -9.227983e-01 -0.379486000  0.17691895 1.00  1387
beta[7] -2.23459446 0.9466363 -4.124211e+00 -2.235155000 -0.39785630 1.00  1500
beta[8] -0.09956269 0.2365607 -5.216065e-01 -0.109929500  0.37135037 1.00  1500
beta[9] -0.45320559 0.3165591 -1.134639e+00 -0.421837000  0.07708323 1.00  1579
s[1]     0.90357335 0.9766482  2.220391e-04  0.577807000  3.51957500 1.01  1003
s[2]     1.30907014 1.4015322  3.311849e-03  0.795157500  5.07869725 1.01  1008
s[3]     1.66724847 2.3883792  3.924074e-05  0.603950500  8.56073175 1.01   876
s[4]     1.93004788 1.9467225  8.410120e-02  1.264895000  7.56160750 1.01   869
s[5]     0.65355624 0.8628597  5.365401e-07  0.285239000  3.03846050 1.01   997
s[6]     0.78515161 0.7869965  3.659504e-04  0.563282500  2.85643700 1.01  1000
s[7]     0.63971363 1.1753112  6.670582e-11  0.084292050  4.23890450 1.02   873
s[8]     0.93115561 1.5920787  6.674932e-11  0.146272500  5.69536425 1.01   878
s[9]     1.46030474 2.1877867  3.914601e-05  0.478230500  7.87563575 1.01   874
s[10]    3.13271243 1.7411127  1.169574e+00  2.536645000  7.97974600 1.01  1004
s[11]    1.74828907 2.2223951  1.952544e-04  0.894617500  8.12196100 1.01   875
s[12]    2.13944056 2.4921967  3.788086e-05  1.113975000  8.58244925 1.01  1028
s[13]    0.62905656 1.2100027  1.457897e-09  0.101508000  4.34380825 1.02   868
s[14]    1.25703962 0.5965925  1.000000e+00  1.003700000  3.11699025 1.02   965
s[15]    1.38633759 1.5291552  3.310490e-03  0.789743000  5.48302075 1.01  1011
s[16]    2.96883519 1.4928993  2.000000e+00  2.286755000  7.32114700 1.01   873
s[17]    2.26998596 1.9192806  1.000100e+00  1.455490000  7.99673175 1.01   869
s[18]    1.89085762 2.0753616  2.687369e-04  1.132980000  7.36230800 1.01  1018
s[19]    2.82537977 2.1803566  9.851863e-01  1.963770000  8.72919850 1.01  1013
s[20]    0.53558855 0.9131126  6.658141e-11  0.119878500  3.22855100 1.01   866
s[21]    1.10208859 0.7271883  2.023386e-01  0.889377500  3.11353250 1.01   977
s[22]    2.82412422 2.1801185  9.851853e-01  1.962090000  8.72806850 1.01  1013
s[23]    3.05722033 2.4926303  3.932684e-02  2.426325000  9.17971625 1.01  1037
s[24]    1.63349570 2.3796931  2.733072e-06  0.567119000  8.51453750 1.01   876
s[25]    1.18238944 1.9919439  3.308730e-11  0.226633000  7.11913925 1.01   874
s[26]    0.08430417 0.2302190  0.000000e+00  0.000423042  0.76733407 1.02   955
s[27]    0.20469367 0.4198623  0.000000e+00  0.012692500  1.48188075 1.02   966
s[28]    1.25703962 0.5965925  1.000000e+00  1.003700000  3.11699025 1.02   965
s[29]    3.31445193 2.1628324  1.012200e+00  2.650440000  8.87886375 1.01  1023
s[30]    2.96883519 1.4928993  2.000000e+00  2.286755000  7.32114700 1.01   873
s[31]    2.96883519 1.4928993  2.000000e+00  2.286755000  7.32114700 1.01   873
s[32]    2.96883519 1.4928993  2.000000e+00  2.286755000  7.32114700 1.01   873
s[33]    1.20827186 1.9707518  1.646518e-09  0.260529000  7.01281125 1.01   875
s[34]    1.20827186 1.9707518  1.646518e-09  0.260529000  7.01281125 1.01   875
s[35]    1.99999277 1.8769376  9.469367e-02  1.397020000  7.43831600 1.01   868
s[36]    0.92186896 1.0428327  2.215104e-04  0.552725000  3.76372000 1.01  1000
s[37]    0.68868102 0.9068296  5.235772e-07  0.321691500  3.23125700 1.01   876
s[38]    0.68868102 0.9068296  5.235772e-07  0.321691500  3.23125700 1.01   876
s[39]    1.73110014 1.8288084  1.382343e-02  1.016865000  6.57409175 1.01  1015
s[40]    1.73110014 1.8288084  1.382343e-02  1.016865000  6.57409175 1.01  1015
s[41]    3.31527280 2.1629922  1.012351e+00  2.651310000  8.87996375 1.01  1023
