
	WATERSHED 7

logit(theta[i]) <-  beta[1] + beta[2] * Agr[1] + beta[3] * Elv[i] + beta[4] * Area[i] + beta[5] * Urb[i] +
beta[6] * Slop[i] + beta[7] * Temp[i] + beta[8] * For[i] + beta[9] * s[i]

               mean         sd          2.5%         50%      97.5% Rhat n.eff
alpha    4.38533403 44.3721006  1.710304e-01  0.66030050 20.6843250 1.21  1351
beta[1] -0.63505137  0.7320875 -2.220446e+00 -0.57552800  0.6352849 1.00  1432
beta[2] -0.08271626  3.1394224 -6.065408e+00 -0.05452515  5.9202372 1.00  1753
beta[3]  0.85565667  1.8358037 -2.457930e+00  0.80599750  4.7011070 1.00  1500
beta[4] -0.37230624  0.7099675 -1.746233e+00 -0.38224050  1.0562837 1.00  1500
beta[5]  1.34714347  0.6468740  6.911481e-02  1.32773500  2.6184092 1.00  1371
beta[6]  0.80419470  0.7204069 -3.857711e-01  0.71089300  2.4237107 1.00  1500
beta[7]  1.15018456  1.8712520 -2.237759e+00  1.09484500  5.0228562 1.00  1432
beta[8] -0.67567809  0.6233144 -2.050349e+00 -0.62326150  0.4037558 1.00  1548
beta[9]  0.28710128  0.2647912 -1.571135e-01  0.25355350  0.9064337 1.00  1725
s[1]     5.64161730  3.2118567  1.015815e+00  5.26498500 12.6649025 1.00  1236
s[2]     6.29367683  2.6124060  2.979559e+00  5.76970500 12.4588225 1.00  1307
s[3]     5.64161730  3.2118567  1.015815e+00  5.26498500 12.6649025 1.00  1236
s[4]     0.14463351  0.3752505  0.000000e+00  0.01225470  1.1889485 1.02  1500
s[5]     1.05926414  1.1200449  1.566363e-09  0.72425900  4.1346440 1.00  1332
s[6]     1.68174072  1.9604241  0.000000e+00  0.94835000  6.9732267 1.00  1333
s[7]     4.74276326  3.1085271  1.296288e-04  4.36636500 11.6218650 1.00  1235
s[8]     4.76382746  3.0979024  1.000179e+00  4.10391000 11.9830250 1.00  1310
s[9]     0.83459191  1.4102408  0.000000e+00  0.16160800  5.0207100 1.00  1415
s[10]    4.76382746  3.0979024  1.000179e+00  4.10391000 11.9830250 1.00  1310
s[11]    6.29367683  2.6124060  2.979559e+00  5.76970500 12.4588225 1.00  1307
s[12]    2.53959915  2.2100896  2.076371e-01  1.64952500  8.4959987 1.00  1333
s[13]    1.27088394  1.2856041  1.566363e-09  0.90720250  4.7351542 1.00  1327
s[14]    1.38646602  1.6131103  0.000000e+00  0.81669500  5.7572150 1.00  1333
s[15]    1.38646602  1.6131103  0.000000e+00  0.81669500  5.7572150 1.00  1333
s[16]    2.95711386  2.8305501  1.181472e-08  2.10699500 10.1558925 1.00  1320
s[17]    2.95711386  2.8305501  1.181472e-08  2.10699500 10.1558925 1.00  1320
s[18]    6.28692325  2.6220017  2.938616e+00  5.76923500 12.4595750 1.00  1304
s[19]    6.28692325  2.6220017  2.938616e+00  5.76923500 12.4595750 1.00  1304
s[20]    0.40284026  0.8709806  0.000000e+00  0.02719265  3.0509482 1.01  1425
s[21]    3.10372209  2.4171641  9.795278e-01  2.17493500  9.6813047 1.00  1333
s[22]    2.52903442  2.1936260  2.076371e-01  1.64874500  8.4463775 1.00  1333
s[23]    3.10428409  2.4173091  9.795278e-01  2.17557000  9.6820147 1.00  1333
s[24]    5.55148610  3.3744367  3.162734e-02  5.29664000 12.6872925 1.00  1231
s[25]    6.29367683  2.6124060  2.979559e+00  5.76970500 12.4588225 1.00  1307
s[26]    4.17308580  3.2236532  3.521307e-04  3.51512000 11.6467475 1.00  1308
s[27]    1.64579644  2.0743930  9.786635e-15  0.86128150  7.5052902 1.00  1341
s[28]    1.57898668  2.1417370  2.220450e-16  0.69023550  7.7155145 1.00  1346
s[29]    1.64970402  2.0714318  9.892085e-15  0.87061850  7.5445545 1.00  1341
s[30]    3.96934934  2.2644489  9.553451e-02  3.57799000  9.4268412 1.00  1306
s[31]    3.78223677  2.3551841  2.223105e-03  3.41691000  9.3987785 1.00  1243
s[32]    2.41392474  1.9686778  9.795278e-01  1.57301000  7.9937735 1.00  1346
s[33]    3.49067586  2.2923256  2.829931e-03  3.10155000  9.0195187 1.00  1245
s[34]    3.20098551  2.4365069  2.320369e-05  2.74157500  9.1185877 1.00  1307
s[35]    3.92708761  2.3060679  9.294539e-02  3.53226000  9.4675320 1.00  1305
s[36]    2.41383482  1.9686137  9.795278e-01  1.57294000  7.9935887 1.00  1346
s[37]    2.04059946  1.4651114  1.000000e+00  1.37045000  6.1648910 1.00  1349
s[38]    2.31812534  2.4271557  0.000000e+00  1.49844000  8.3720437 1.00  1325
s[39]    3.50110236  2.1618272  6.411659e-01  2.77079500  9.0525250 1.00  1322
s[40]    3.58851899  2.0918996  1.320583e+00  2.80643500  9.0685255 1.00  1329
s[41]    3.58851899  2.0918996  1.320583e+00  2.80643500  9.0685255 1.00  1329
s[42]    2.04059946  1.4651114  1.000000e+00  1.37045000  6.1648910 1.00  1349
s[43]    1.78951423  1.8334975  2.022494e-13  1.21327000  6.4411322 1.00  1324
s[44]    1.96106586  1.5000595  1.355937e-03  1.60696000  5.7567775 1.00  1313
s[45]    2.11513869  2.2481686  0.000000e+00  1.34755000  7.7064117 1.00  1326
s[46]    2.13142075  1.5639210  1.355957e-03  1.79401500  6.0267165 1.00  1310
s[47]    2.14963634  1.8104066  2.393040e-08  1.75695500  6.5572317 1.00  1311
